"season","main_character_script"
"6","Series 06 Episode 01 – The Date Night Variable"
"6","Scene: The Comic Book Store."
"6","Scene: The International Space Station."
"6","(off)"
"6","Credits sequence."
"6","Scene: Penny’s apartment. Penny is bleaching Amy’s upper lip."
"6","Scene: The university cafeteria."
"6","Scene: The International Space Station"
"6","(on webcam)"
"6","Scene: A restaurant."
"6","Later."
"6","Scene: The apartment."
"6","(Knock on door)"
"6","Scene: The hallway. Raj is ejected from the apartment."
"6","Scene: The restaurant."
"6","Series 06 Episode 02 – The Decoupling Fluctuation"
"6","Scene: Bernadette’s apartment."
"6","Credits sequence."
"6","Scene: Cutting between the International Space Station and the apartment (the guys are on webcam)."
"6","(voice off)"
"6","(Makes static noise)"
"6","(Static noise)"
"6","(static noise)"
"6","(knocking and entering)"
"6","Scene: The cinema."
"6","Scene: The apartment. Sheldon is making a sucking noise with his teeth."
"6","(measures)"
"6","Scene: Leonard’s room."
"6","(Knock, knock, knock)"
"6","Scene: Penny’s bedroom. Sheldon is standing over Penny’s bed, knocking on the wall."
"6","(Penny wakes up and screams. Sheldon also screams)"
"6","Scene: Amy’s bedroom. Phone rings."
"6","(Phone beeps)"
"6","Scene: Cutting between the International Space Station and the Bernadette’s apartment."
"6","Scene: The apartment. The guys are playing a card game."
"6","Scene: Penny’s apartment."
"6","(phone text tone)"
"6","(They give him a hangdog look)"
"6","(On screen, Howard has a mouse face drawn on his face, and the words F.LOOPS on his forehead.)"
"6","Series 06 Episode 03 – The Higgs Boson Observation"
"6","Scene: Webcam conversation between Bernadette’s Office and the International Space Station"
"6","Scene: The apartment. Penny enters, carrying a box."
"6","Credits sequence."
"6","Scene: Sheldon’s office."
"6","Scene: A University corridor."
"6","Scene: Penny’s apartment. Amy is applying very red lip gloss."
"6","Scene: University corridor."
"6","Scene: The cafeteria."
"6","Scene: Penny’s car."
"6","Scene: The apartment."
"6","Series 06 Episode 04 – The Re-Entry Minimization"
"6","Scene: The Apartment."
"6","Scene: The Soyuz Capsule. Howard is screaming."
"6","Scene: The Airport Arrivals Hall."
"6","Scene: The apartment."
"6","Later"
"6","Scene: Howard and Bernadette’s Bedroom."
"6","Scene: Mrs Wolowitz’s House."
"6","Later. Penny and Sheldon have their foreheads on light sabres and are spinning."
"6","Scene: Raj’s apartment."
"6","Scene: A diner."
"6","Series 06 Episode 05 – The Holographic Excitation"
"6","Scene: The Comic Book Store"
"6","Scene: The apartment."
"6","Scene: Leonard’s laboratory."
"6","Scene: The cafeteria."
"6","Scene: Howard and Bernadette’s bedroom."
"6","Scene: Howard and Bernadette’s bedroom. Howard and Bernadette are dressed as smurfs."
"6","Scene: The comic book store."
"6","Series 06 Episode 06 – The Extract Obliteration"
"6","Scene: A dance video game where the characters are imperial stormtroopers from Star Wars and Bobba Fett. Opens onto the apartment where Howard and Raj are dancing to the game."
"6","Credits sequence."
"6","Scene: Penny’s apartment."
"6","Scene: Amy’s laboratory."
"6","Scene: The apartment."
